Country Name,Country Code,Series Name,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Trinidad and Tobago,TTO,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Tunisia,TUN,"Children out of school, primary",SE.PRM.UNER,9497,9608,10430,10003,9836,..,7770,13122,21781,..
Turkiye,TUR,"Children out of school, primary",SE.PRM.UNER,13915,67914,92179,36009,10494,10253,11545,11341,..,..
Turkmenistan,TKM,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Turks and Caicos Islands,TCA,"Children out of school, primary",SE.PRM.UNER,359,257,..,182.550994873047,..,..,..,136.542999267578,..,..
Tuvalu,TUV,"Children out of school, primary",SE.PRM.UNER,36,10.2239999771118,6,..,..,150,122,16,38,..
Uganda,UGA,"Children out of school, primary",SE.PRM.UNER,476464,1067661,918236,966780,..,..,..,..,..,..
Ukraine,UKR,"Children out of school, primary",SE.PRM.UNER,199859,279279,297505,306822,318078,311587,309449,299855,..,..
United Arab Emirates,ARE,"Children out of school, primary",SE.PRM.UNER,..,..,..,5876,..,9582,4009,..,..,..
United Kingdom,GBR,"Children out of school, primary",SE.PRM.UNER,80363,86811,102263,107102,116634,122703,150458,1026,152626,..
United States,USA,"Children out of school, primary",SE.PRM.UNER,..,446256,88850,104711,141533,224977,489065,996160,965853,..
Uruguay,URY,"Children out of school, primary",SE.PRM.UNER,13537,1703,98,714,449,1470,1026,562,889.8740234375,..
Uzbekistan,UZB,"Children out of school, primary",SE.PRM.UNER,54381,20418,10254.8291015625,10911.1318359375,9516.6005859375,3956.35888671875,19324,44388,99927,106711
Vanuatu,VUT,"Children out of school, primary",SE.PRM.UNER,..,2036,..,..,..,3193,4171,2451,4160,..
"Venezuela, RB",VEN,"Children out of school, primary",SE.PRM.UNER,224450,249592,353247,435055,..,..,..,..,..,..
Viet Nam,VNM,"Children out of school, primary",SE.PRM.UNER,51109.31640625,24493.85546875,..,..,..,..,..,..,..,..
Virgin Islands (U.S.),VIR,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
West Bank and Gaza,PSE,"Children out of school, primary",SE.PRM.UNER,30585,29552,26545,19838,22513,26394,31400,41961,50503,..
"Yemen, Rep.",YEM,"Children out of school, primary",SE.PRM.UNER,..,..,1133582,..,..,..,..,..,..,..
Zambia,ZMB,"Children out of school, primary",SE.PRM.UNER,..,..,..,478135,..,..,..,..,..,..
Zimbabwe,ZWE,"Children out of school, primary",SE.PRM.UNER,170698,397065,372311,430346,423080,424812,399790,189407,171679,..
Africa Eastern and Southern,AFE,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Africa Western and Central,AFW,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Caribbean small states,CSS,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Central Europe and the Baltics,CEB,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Early-demographic dividend,EAR,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
East Asia & Pacific,EAS,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
East Asia & Pacific (excluding high income),EAP,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
East Asia & Pacific (IDA & IBRD countries),TEA,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Euro area,EMU,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Europe & Central Asia,ECS,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Europe & Central Asia (excluding high income),ECA,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Europe & Central Asia (IDA & IBRD countries),TEC,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
European Union,EUU,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
